,date,currency_code,from_myr,to_myr,cpi,cpi_growth_rate,gdp,interest_rate
5664,2021-01-12,KRW,271.0762,0.0037,105.67,0.161137440758296,-0.8520314288638247,4.321429492890669
5665,2021-01-13,KRW,270.5628,0.0037,105.67,0.161137440758296,-0.8520314288638247,4.321429492890669
5666,2021-01-14,KRW,272.3312,0.0037,105.67,0.161137440758296,-0.8520314288638247,4.321429492890669
5667,2021-01-15,KRW,272.257,0.0037,105.67,0.161137440758296,-0.8520314288638247,4.321429492890669
5668,2021-01-18,KRW,273.0003,0.0037,105.67,0.161137440758296,-0.8520314288638247,4.321429492890669
5669,2021-01-19,KRW,271.8869,0.0037,105.67,0.161137440758296,-0.8520314288638247,4.321429492890669
5670,2021-01-20,KRW,271.6653,0.0037,105.67,0.161137440758296,-0.8520314288638247,4.321429492890669
5671,2021-01-21,KRW,272.7769,0.0037,105.67,0.161137440758296,-0.8520314288638247,4.321429492890669
5672,2021-01-22,KRW,273.0748,0.0037,105.67,0.161137440758296,-0.8520314288638247,4.321429492890669
5673,2021-01-25,KRW,272.4796,0.0037,105.67,0.161137440758296,-0.8520314288638247,4.321429492890669
5674,2021-01-26,KRW,272.5538,0.0037,105.67,0.161137440758296,-0.8520314288638247,4.321429492890669
5675,2021-01-27,KRW,273.0748,0.0037,105.67,0.161137440758296,-0.8520314288638247,4.321429492890669
5676,2021-01-29,KRW,275.4821,0.0036,105.67,0.161137440758296,-0.8520314288638247,4.321429492890669
5677,2021-02-02,KRW,276.0144,0.0036,106.47,0.757073909340397,-0.8520314288638247,4.321429492890669
5678,2021-02-03,KRW,275.634,0.0036,106.47,0.757073909340397,-0.8520314288638247,4.321429492890669
5679,2021-02-04,KRW,276.1668,0.0036,106.47,0.757073909340397,-0.8520314288638247,4.321429492890669
5680,2021-02-05,KRW,276.4722,0.0036,106.47,0.757073909340397,-0.8520314288638247,4.321429492890669
5681,2021-02-08,KRW,275.3304,0.0036,106.47,0.757073909340397,-0.8520314288638247,4.321429492890669
5682,2021-02-09,KRW,274.8763,0.0036,106.47,0.757073909340397,-0.8520314288638247,4.321429492890669
5683,2021-02-10,KRW,274.499,0.0036,106.47,0.757073909340397,-0.8520314288638247,4.321429492890669
5684,2021-02-11,KRW,273.523,0.0037,106.47,0.757073909340397,-0.8520314288638247,4.321429492890669
5685,2021-02-15,KRW,273.0748,0.0037,106.47,0.757073909340397,-0.8520314288638247,4.321429492890669
5686,2021-02-16,KRW,272.5538,0.0037,106.47,0.757073909340397,-0.8520314288638247,4.321429492890669
5687,2021-02-17,KRW,274.4237,0.0036,106.47,0.757073909340397,-0.8520314288638247,4.321429492890669
5688,2021-02-18,KRW,273.7476,0.0037,106.47,0.757073909340397,-0.8520314288638247,4.321429492890669
5689,2021-02-19,KRW,274.2732,0.0036,106.47,0.757073909340397,-0.8520314288638247,4.321429492890669
5690,2021-02-22,KRW,274.0477,0.0036,106.47,0.757073909340397,-0.8520314288638247,4.321429492890669
5691,2021-02-23,KRW,274.8008,0.0036,106.47,0.757073909340397,-0.8520314288638247,4.321429492890669
5692,2021-02-24,KRW,275.0275,0.0036,106.47,0.757073909340397,-0.8520314288638247,4.321429492890669
5693,2021-02-25,KRW,274.2732,0.0036,106.47,0.757073909340397,-0.8520314288638247,4.321429492890669
5694,2021-02-26,KRW,277.4695,0.0036,106.47,0.757073909340397,-0.8520314288638247,4.321429492890669
5695,2021-03-01,KRW,276.7783,0.0036,107.0,0.497792805485114,-0.8520314288638247,4.321429492890669
5696,2021-03-02,KRW,276.7017,0.0036,107.0,0.497792805485114,-0.8520314288638247,4.321429492890669
5697,2021-03-03,KRW,277.3925,0.0036,107.0,0.497792805485114,-0.8520314288638247,4.321429492890669
5698,2021-03-04,KRW,278.1641,0.0036,107.0,0.497792805485114,-0.8520314288638247,4.321429492890669
5699,2021-03-05,KRW,277.0083,0.0036,107.0,0.497792805485114,-0.8520314288638247,4.321429492890669
5700,2021-03-08,KRW,277.0851,0.0036,107.0,0.497792805485114,-0.8520314288638247,4.321429492890669
5701,2021-03-09,KRW,276.0144,0.0036,107.0,0.497792805485114,-0.8520314288638247,4.321429492890669
5702,2021-03-10,KRW,276.5487,0.0036,107.0,0.497792805485114,-0.8520314288638247,4.321429492890669
5703,2021-03-11,KRW,276.2431,0.0036,107.0,0.497792805485114,-0.8520314288638247,4.321429492890669
5704,2021-03-12,KRW,274.8008,0.0036,107.0,0.497792805485114,-0.8520314288638247,4.321429492890669
5705,2021-03-15,KRW,275.9382,0.0036,107.0,0.497792805485114,-0.8520314288638247,4.321429492890669
5706,2021-03-16,KRW,274.8763,0.0036,107.0,0.497792805485114,-0.8520314288638247,4.321429492890669
5707,2021-03-17,KRW,274.5744,0.0036,107.0,0.497792805485114,-0.8520314288638247,4.321429492890669
5708,2021-03-18,KRW,273.9726,0.0037,107.0,0.497792805485114,-0.8520314288638247,4.321429492890669
5709,2021-03-19,KRW,274.8763,0.0036,107.0,0.497792805485114,-0.8520314288638247,4.321429492890669
5710,2021-03-22,KRW,275.0275,0.0036,107.0,0.497792805485114,-0.8520314288638247,4.321429492890669
5711,2021-03-23,KRW,273.8226,0.0037,107.0,0.497792805485114,-0.8520314288638247,4.321429492890669
5712,2021-03-24,KRW,274.3484,0.0036,107.0,0.497792805485114,-0.8520314288638247,4.321429492890669
5713,2021-03-25,KRW,273.9726,0.0037,107.0,0.497792805485114,-0.8520314288638247,4.321429492890669
5714,2021-03-26,KRW,273.0748,0.0037,107.0,0.497792805485114,-0.8520314288638247,4.321429492890669
5715,2021-03-29,KRW,273.0003,0.0037,107.0,0.497792805485114,-0.8520314288638247,4.321429492890669
5716,2021-03-30,KRW,273.3734,0.0037,107.0,0.497792805485114,-0.8520314288638247,4.321429492890669
5717,2021-03-31,KRW,272.1829,0.0037,107.0,0.497792805485114,-0.8520314288638247,4.321429492890669
5718,2021-04-01,KRW,272.4053,0.0037,107.16,0.149532710280371,-0.8520314288638247,4.321429492890669
5719,2021-04-02,KRW,272.5538,0.0037,107.16,0.149532710280371,-0.8520314288638247,4.321429492890669
5720,2021-04-05,KRW,272.3312,0.0037,107.16,0.149532710280371,-0.8520314288638247,4.321429492890669
5721,2021-04-06,KRW,272.1088,0.0037,107.16,0.149532710280371,-0.8520314288638247,4.321429492890669
5722,2021-04-07,KRW,270.4164,0.0037,107.16,0.149532710280371,-0.8520314288638247,4.321429492890669
5723,2021-04-08,KRW,269.8327,0.0037,107.16,0.149532710280371,-0.8520314288638247,4.321429492890669
5724,2021-04-09,KRW,270.1972,0.0037,107.16,0.149532710280371,-0.8520314288638247,4.321429492890669
5725,2021-04-12,KRW,271.8869,0.0037,107.16,0.149532710280371,-0.8520314288638247,4.321429492890669
5726,2021-04-13,KRW,272.4796,0.0037,107.16,0.149532710280371,-0.8520314288638247,4.321429492890669
5727,2021-04-14,KRW,270.9293,0.0037,107.16,0.149532710280371,-0.8520314288638247,4.321429492890669
5728,2021-04-15,KRW,270.8559,0.0037,107.16,0.149532710280371,-0.8520314288638247,4.321429492890669
5729,2021-04-16,KRW,270.7826,0.0037,107.16,0.149532710280371,-0.8520314288638247,4.321429492890669
5730,2021-04-19,KRW,270.636,0.0037,107.16,0.149532710280371,-0.8520314288638247,4.321429492890669
